store,attribute_set,type,category_ids,sku,name,meta_title,meta_description,meta_keyword,description,short_description,price,special_price,status,visibility,options_container,weight,url_key,url_path,tax_class_id,page_layout,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,manage_stock,use_config_manage_stock,qty,jewel_size_sml,junior_maten,ladies_or_men,lengte,ring_maten,model_nummer
admin,default,simple,"3,4,115,117",esprit_181731087,Belief Glam,Esprit Jewelry Belief Glam esprit_181731087,Collier 'Belief Glam' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft een kruis als hanger.,Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier 'Belief Glam' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft een kruis als hanger.</div><BR>",esprit_181731087,69.90,,1,4,Block after info Column,0,belief-glam-esprit-181731087,belief-glam-esprit-181731087.html,0,No layout updates,+/esprit/esprit_181731087.jpg,+/esprit/esprit_181731087.jpg,+/esprit/esprit_181731087.jpg,Belief Glam,Belief Glam,Belief Glam,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731086,Belief Gold,Esprit Jewelry Belief Gold esprit_181731086,Collier 'Belief Gold' van het merk Esprit. Het collier is gemaakt van roestvrij staal dat verguld is. Een kruis is aan dit collier bevestigd.,Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier 'Belief Gold' van het merk Esprit. Het collier is gemaakt van roestvrij staal dat verguld is. Een kruis is aan dit collier bevestigd.</div><BR>",esprit_181731086,69.90,,1,4,Block after info Column,0,belief-gold-esprit-181731086,belief-gold-esprit-181731086.html,0,No layout updates,+/esprit/esprit_181731086.jpg,+/esprit/esprit_181731086.jpg,+/esprit/esprit_181731086.jpg,Belief Gold,Belief Gold,Belief Gold,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731094,Eternal Evolution,Esprit Jewelry Eternal Evolution esprit_181731094,"Collier, gemaakt van roestvrij staal, van het merk Esprit. Het collier 'Eternal Evolution' is nieuw binnen de collectie van Esprit.",Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier, gemaakt van roestvrij staal, van het merk Esprit. Het collier 'Eternal Evolution' is nieuw binnen de collectie van Esprit.</div><BR>",esprit_181731094,190.00,,1,4,Block after info Column,0,eternal-evolution-esprit-181731094,eternal-evolution-esprit-181731094.html,0,No layout updates,+/esprit/esprit_181731094.jpg,+/esprit/esprit_181731094.jpg,+/esprit/esprit_181731094.jpg,Eternal Evolution,Eternal Evolution,Eternal Evolution,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731095,Eternal Evolution Gold,Esprit Jewelry Eternal Evolution Gold esprit_181731095,"Collier 'Eternal Evolution Gold' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft vergulde elementen. Dit collier is niet alleen elegant, maar ook geschikt voor verschillende gelegenheden.",Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier 'Eternal Evolution Gold' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft vergulde elementen. Dit collier is niet alleen elegant, maar ook geschikt voor verschillende gelegenheden.</div><BR>",esprit_181731095,199.00,,1,4,Block after info Column,0,eternal-evolution-gold-esprit-181731095,eternal-evolution-gold-esprit-181731095.html,0,No layout updates,+/esprit/esprit_181731095.jpg,+/esprit/esprit_181731095.jpg,+/esprit/esprit_181731095.jpg,Eternal Evolution Gold,Eternal Evolution Gold,Eternal Evolution Gold,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731096,Eternal Evolution Rose,Esprit Jewelry Eternal Evolution Rose esprit_181731096,"Collier 'Eternal Evolution Rose' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft roségoud-vergulde elementen. Dit collier oogt eenvoudig, maar laat toch een zeer positieve indruk achter.",Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier 'Eternal Evolution Rose' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft roségoud-vergulde elementen. Dit collier oogt eenvoudig, maar laat toch een zeer positieve indruk achter.</div><BR>",esprit_181731096,199.00,,1,4,Block after info Column,0,eternal-evolution-rose-esprit-181731096,eternal-evolution-rose-esprit-181731096.html,0,No layout updates,+/esprit/esprit_181731096.jpg,+/esprit/esprit_181731096.jpg,+/esprit/esprit_181731096.jpg,Eternal Evolution Rose,Eternal Evolution Rose,Eternal Evolution Rose,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731091,Glam Loops,Esprit Jewelry Glam Loops esprit_181731091,Collier 'Glam Loops' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft een hanger die uit meerdere ringen bestaat. De ringen zijn verder versierd met synthetisch zirkonia.,Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier 'Glam Loops' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft een hanger die uit meerdere ringen bestaat. De ringen zijn verder versierd met synthetisch zirkonia.</div><BR>",esprit_181731091,99.90,,1,4,Block after info Column,0,glam-loops-esprit-181731091,glam-loops-esprit-181731091.html,0,No layout updates,+/esprit/esprit_181731091.jpg,+/esprit/esprit_181731091.jpg,+/esprit/esprit_181731091.jpg,Glam Loops,Glam Loops,Glam Loops,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731078,Glam Sphere,Esprit Jewelry Glam Sphere esprit_181731078,"Collier 'Glam Sphere' van het merk Esprit, gemaakt van roestvrij staal. Het collier heeft een bol versierd met synthetisch zirkonia als hanger. Dit collier is niet alleen glamoureus, maar ook trendy en modieus.",Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier 'Glam Sphere' van het merk Esprit, gemaakt van roestvrij staal. Het collier heeft een bol versierd met synthetisch zirkonia als hanger. Dit collier is niet alleen glamoureus, maar ook trendy en modieus.</div><BR>",esprit_181731078,89.90,,1,4,Block after info Column,0,glam-sphere-esprit-181731078,glam-sphere-esprit-181731078.html,0,No layout updates,+/esprit/esprit_181731078.jpg,+/esprit/esprit_181731078.jpg,+/esprit/esprit_181731078.jpg,Glam Sphere,Glam Sphere,Glam Sphere,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731082,Navette,Esprit Jewelry Navette esprit_181731082,"Collier 'Navette' van het merk Esprit, gemaakt van roestvrij staal. Dit collier heeft een hanger die eveneens gemaakt is van roestvrij staal en versierd is met een zirkonia.",Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier 'Navette' van het merk Esprit, gemaakt van roestvrij staal. Dit collier heeft een hanger die eveneens gemaakt is van roestvrij staal en versierd is met een zirkonia.</div><BR>",esprit_181731082,59.90,,1,4,Block after info Column,0,navette-esprit-181731082,navette-esprit-181731082.html,0,No layout updates,+/esprit/esprit_181731082.jpg,+/esprit/esprit_181731082.jpg,+/esprit/esprit_181731082.jpg,Navette,Navette,Navette,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731075,Nugget Glam,Esprit Jewelry Nugget Glam esprit_181731075,Collier 'Nugget Glam' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft een hanger die versierd is met synthetisch zirkonia. Deze nieuwe armband glanst op een schitterende manier en laat een geweldige indruk achter.,Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Collier 'Nugget Glam' van het merk Esprit. Het collier is gemaakt van roestvrij staal en heeft een hanger die versierd is met synthetisch zirkonia. Deze nieuwe armband glanst op een schitterende manier en laat een geweldige indruk achter.</div><BR>",esprit_181731075,79.90,,1,4,Block after info Column,0,nugget-glam-esprit-181731075,nugget-glam-esprit-181731075.html,0,No layout updates,+/esprit/esprit_181731075.jpg,+/esprit/esprit_181731075.jpg,+/esprit/esprit_181731075.jpg,Nugget Glam,Nugget Glam,Nugget Glam,0,0,1,,,,,,
admin,default,simple,"3,4,115,117",esprit_181731084,Pearl Crown,Esprit Jewelry Pearl Crown esprit_181731084,"Pearl Crown, collier van het merk Esprit, gemaakt van roestvrij staal. Aan dit collier is een hanger bevestigd die bestaat uit een parel met een kroon. Esprit toont met dit collier zijn vakmanschap op het gebied van colliers.",Esprit Jewelry Colliers,"<BR><div style=""text-align:justify"">Pearl Crown, collier van het merk Esprit, gemaakt van roestvrij staal. Aan dit collier is een hanger bevestigd die bestaat uit een parel met een kroon. Esprit toont met dit collier zijn vakmanschap op het gebied van colliers.</div><BR>",esprit_181731084,69.90,,1,4,Block after info Column,0,pearl-crown-esprit-181731084,pearl-crown-esprit-181731084.html,0,No layout updates,+/esprit/esprit_181731084.jpg,+/esprit/esprit_181731084.jpg,+/esprit/esprit_181731084.jpg,Pearl Crown,Pearl Crown,Pearl Crown,0,0,1,,,,,,
